rango_inicio,rango_fin,cantidad
50000.0,130461.42,381
130461.42,210922.84,700
210922.84,291384.26,846
291384.26,371845.68,1043
371845.68,452307.1,1387
452307.1,532768.52,1207
532768.52,613229.94,1148
613229.94,693691.36,923
693691.36,774152.78,875
774152.78,854614.2,765
854614.2,935075.62,714
935075.62,1015537.04,699
1015537.04,1095998.46,504
1095998.46,1176459.88,468
1176459.88,1256921.3,407
1256921.3,1337382.72,357
1337382.72,1417844.14,333
1417844.14,1498305.56,285
1498305.56,1578766.98,300
1578766.98,1659228.4,218
1659228.4,1739689.82,227
1739689.82,1820151.24,251
1820151.24,1900612.66,230
1900612.66,1981074.08,223
1981074.08,2061535.5,183
2061535.5,2141996.92,182
2141996.92,2222458.34,178
2222458.34,2302919.76,141
2302919.76,2383381.18,157
2383381.18,2463842.6,138
2463842.6,2544304.02,109
2544304.02,2624765.44,121
2624765.44,2705226.86,124
2705226.86,2785688.28,112
2785688.28,2866149.6999999997,116
2866149.6999999997,2946611.12,97
2946611.12,3027072.54,105
3027072.54,3107533.96,53
3107533.96,3187995.38,98
3187995.38,3268456.8,69
3268456.8,3348918.2199999997,93
3348918.2199999997,3429379.64,75
3429379.64,3509841.06,53
3509841.06,3590302.48,66
3590302.48,3670763.9,60
3670763.9,3751225.32,102
3751225.32,3831686.7399999998,50
3831686.7399999998,3912148.16,48
3912148.16,3992609.58,35
3992609.58,4073071.0,80
