posting_id,precio_soles,latitud,longitud,urbanizacion,distrito_real
148072438,284555.0,-12.0893481,-77.0758441,San Miguelito,San Miguel
60363750,432425.0,-12.1246132,-77.0275255,Leuro,Miraflores
142073574,409357.0,-12.1289342,-77.0225608,Miraflores,Lima
142082157,323390.0,-12.0915353,-77.0828056,San Miguel,Lima
144312982,200000.0,-12.069069001497809,-77.09813384603271,San Miguel,Lima
147398852,280000.0,-12.1116737,-77.01310149999999,Surquillo,Lima
142452411,451000.0,-12.0949881,-77.0552728,Magdalena,Lima
146355366,229824.0,-12.0782483,-77.094195,Maranga,San Miguel
146693163,308000.0,-12.1121255,-77.010432,Surquillo,Lima
144511022,525000.0,-12.0994938,-77.0398618,San Isidro,Lima
143536380,633017.0,-12.119389,-77.0426702,Miraflores,Lima
143188173,342085.0,-12.102394,-77.0248317,Limatambo,San Isidro
143771728,217000.0,-12.182188,-77.007618,Las Gaviotas,Chorrillos
146903935,562191.0,-12.120769533622559,-77.01935456927679,Miraflores,Lima
147788811,150000.0,-12.0279525,-76.9308293,Alejandro Alvarez,Ate Vitarte
148160705,952000.0,-12.776616,-76.53447,Asia,Cañete
148021605,2203250.0,-12.1353197,-77.0264686,Armendariz,Miraflores
149039092,2058700.0,-12.0895294,-76.9707454,Santiago de Surco,Lima
148179290,289000.0,-12.073268641720935,-77.02062093230519,La Victoria,Lima
148835924,569500.0,-12.1049109283,-77.013815168,Corpac,San Isidro
147616463,3905000.0,-12.1238076,-77.0117474,Aurora,Miraflores
148514228,910000.0,-12.1183966,-76.9955486,Higuereta,Santiago de Surco
149094591,1525000.0,-12.102620843270172,-77.0491446883606,San Isidro,Lima
4671857,1197000.0,-12.1041012,-77.01070829999999,Corpac,San Isidro
149199956,2700000.0,-12.1366601,-77.0249748,Barranco,Lima
149132342,340465.0,-12.0914909,-77.0297293,San Isidro,Lima
148286259,211700.0,-12.0933772,-77.03913039999999,San Isidro,Lima
144513045,518195.0,-12.0959094,-77.0354488,El Olivar,San Isidro
147162401,887400.0,-12.1208486,-77.0430184,Miraflores,Lima
142070273,193894.0,-12.078973,-77.0354645,Santa Beatriz,Lima Cercado
148794069,174400.0,-12.0667585,-77.0572705,Breña,Lima
148786977,262124.0,-12.1257529,-77.00290220000001,Marsano,Surquillo
64842152,524032.0,-12.1210967,-77.0246686,Miraflores,Lima
144854039,422144.0,-12.1309419,-77.0227417,Miraflores,Lima
65755974,481000.0,-12.0820998,-77.0460939,Salaverry Et.2,Jesús María
60907644,913000.0,-12.1258551,-77.02933569999999,Miraflores,Lima
142464193,206000.0,-12.186427544070566,-76.98075023081363,Chorrillos,Lima
147393328,333102.0,-12.0964139,-77.0717497,Orbea,Magdalena
146788586,1825000.0,-12.081337768519317,-76.89524013587646,El Sol De La Molina Et.3,La Molina
148922228,400000.0,-12.1397206335,-77.021497681,Barranco,Lima
148252003,454950.0,-12.133880033480956,-76.74072937659912,Cieneguilla,Lima
148613388,470000.0,-12.1199786,-76.9885197,Las Gardenias,Santiago de Surco
148708838,586250.0,-12.1402073,-77.0244574,Miraflores,Lima
149297904,413000.0,-12.1151385,-77.0104251,Surquillo,Lima
147787676,178500.0,-12.0334128,-77.0928014,San Martín de Porres,Lima
4513397,3293000.0,-12.2141786,-77.0094227,La Encantada De Villa,Chorrillos
149208361,884000.0,-12.9705556,-76.5052778,Cerro Azul,Cañete
147713258,1540000.0,-12.0854696,-76.9050438,El Sol De La Molina Et.1,La Molina
149182088,839800.0,-12.3364336,-76.8211199,Punta Hermosa,Lima
149271629,835000.0,-12.0915993232,-76.9489919567,La Molina Vieja,La Molina
