mes,cantidad
2020-01,3
2020-08,1
2021-02,1
2021-05,1
2022-01,1
2022-06,1
2022-07,1
2022-08,1
2022-12,3
2023-01,1
2023-02,3
2023-03,1
2023-04,1
2023-06,2
2023-07,1
2023-08,1
2023-09,1
2023-10,2
2023-11,1
2023-12,3
2024-01,2
2024-02,22
2024-03,3
2024-04,4
2024-05,4
2024-06,4
2024-07,3
2024-08,1
2024-09,10
2024-10,5
2024-11,8
2024-12,4
2025-01,4
2025-02,3
2025-03,6
2025-04,4
2025-05,6
2025-06,8
2025-07,12
2025-08,3
2025-09,4
2025-10,6
2025-11,6
2025-12,8
2026-01,6
2026-02,11
2026-03,6
