distrito_real,tipo,precio_promedio,cantidad,latitud_centro,longitud_centro
Ancón,Casas,573717.0,12,-11.7727558685,-77.1755889146
Ancón,Departamentos,737050.0,20,-11.7727558685,-77.1755889146
Ancón,Locales Comerciales,264500.0,2,-11.7727558685,-77.1755889146
Ancón,Terrenos,815264.0,26,-11.7727558685,-77.1755889146
Asia,Casas,1329410.0,137,-12.776616,-76.53447
Asia,Departamentos,689094.0,23,-12.776616,-76.53447
Asia,Hoteles,1350000.0,2,-12.776616,-76.53447
Asia,Otros,1438376.0,138,-12.776616,-76.53447
Asia,Proyectos Inmobiliarios,596850.0,3,-12.776616,-76.53447
Asia,Terrenos,455434.0,296,-12.776616,-76.53447
Ate Vitarte,Casas,986970.0,46,-12.0279525,-76.9308293
Ate Vitarte,Departamentos,407485.0,121,-12.0279525,-76.9308293
Ate Vitarte,Locales Comerciales,1799987.0,20,-12.0279525,-76.9308293
Ate Vitarte,Naves industriales,2571932.0,5,-12.0279525,-76.9308293
Ate Vitarte,Otros,1619867.0,3,-12.0279525,-76.9308293
Ate Vitarte,Terrenos,1149650.0,27,-12.0279525,-76.9308293
Aucallama,Terrenos,495441.0,4,-11.53292971124,-77.1857064932068
Barranca,Casas,1659000.0,2,-12.1248283,-77.0257033
Barranca,Departamentos,868667.0,3,-12.1248283,-77.0257033
Barranca,Terrenos,2872342.0,2,-12.1248283,-77.0257033
Barranco,Casas,2358903.0,19,-12.1366601,-77.0249748
Barranco,Departamentos,878104.0,385,-12.1366601,-77.0249748
Barranco,Desarrollos verticales,331660.0,3,-12.1366601,-77.0249748
Barranco,Locales Comerciales,2798551.0,5,-12.1366601,-77.0249748
Barranco,Oficinas,708326.0,12,-12.1366601,-77.0249748
Barranco,Terrenos,2926465.0,11,-12.1366601,-77.0249748
Breña,Casas,1398792.0,4,-12.0667585,-77.0572705
Breña,Departamentos,444657.0,80,-12.0667585,-77.0572705
Breña,Locales Comerciales,2205830.0,14,-12.0667585,-77.0572705
Breña,Naves industriales,1922046.0,5,-12.0667585,-77.0572705
Breña,Terrenos,2030269.0,26,-12.0667585,-77.0572705
Calango,Terrenos,778901.0,9,-12.52614,-76.5452105
Callao,Casas,1218850.0,13,-12.0485343,-77.09712789999999
Callao,Departamentos,348192.0,19,-12.0485343,-77.09712789999999
Callao,Locales Comerciales,1369478.0,7,-12.0485343,-77.09712789999999
Callao,Naves industriales,2277782.0,6,-12.0485343,-77.09712789999999
Callao,Terrenos,1462394.0,16,-12.0485343,-77.09712789999999
Carabayllo,Casas,411406.0,62,-11.818013399999998,-77.0780316
Carabayllo,Departamentos,205729.0,36,-11.818013399999998,-77.0780316
Carabayllo,Locales Comerciales,1005709.0,11,-11.818013399999998,-77.0780316
Carabayllo,Terrenos,395385.0,182,-11.818013399999998,-77.0780316
Cerro Azul,Casas,919307.0,43,-12.9705556,-76.5052778
Cerro Azul,Departamentos,469867.0,6,-12.9705556,-76.5052778
Cerro Azul,Otros,912152.0,43,-12.9705556,-76.5052778
